"station_id","station_name","station_address","lat","lon","source","create_year"
"74DA38C7D58E","新竹市立富禮國中",,,,"Hsinchu","2017"
"08BEAC0A033A","雲林縣縣立馬光國中","雲林縣土庫鎮馬光里和平街一○一號","23.6940568","120.3568767","Yunlin19","2019"
"74DA38F20A0C","高雄市市立七賢國小","高雄市七賢國小 高雄市新興區七賢一路393號","22.634","120.306","Kaohsiung18","2018"
"74DA38F7C37A","市立民族國小","臺北市松山區民生東路4段97巷7號","25.059","121.551","Taipei18","2018"
"74DA38F20EC8","高雄市市立紅毛港國小","高雄市紅毛港國小 高雄市前鎮區明鳳7街1號","22.583","120.334","Kaohsiung18","2018"
"74DA38F20ABC","台東縣縣立月眉國小","[956]臺東縣關山鎮月眉里盛豐路二鄰1號","23.009","121.147","Taitung","2018"
"08BEAC09FFB6","雲林縣縣立橋頭國小","雲林縣麥寮鄉橋頭村仁德路二四八號","23.7981503","120.2729719","Yunlin19","2019"
"74DA38F7C4BA","臺北市備品","臺北市","25.001","121.524","Backup2018","2018"
"74DA38F20A82","苗栗縣縣立僑樂國小","[361]苗栗縣造橋鄉錦水村十二鄰306號","24.603","120.886","Miaoli","2018"
"74DA38F21146","高雄市仁武特殊教育學校","仁武特殊教育學校","22.683","120.346","Kaohsiung18","2018"
"74DA38EBF8C2","花蓮縣立宜昌國中","[973]花蓮縣吉安鄉宜昌1街41號","23.972","121.587","Hualien","2018"
"74DA38F20B12","高雄市市立多納國小","高雄市多納國小 高雄市茂林區多納里1-2號","22.91","120.716","Kaohsiung18","2018"
"74DA38F7C406","新北市中和國小","N/A","24.999","121.501","NewTaipei18","2018"
"74DA38F20F1A","高雄市市立建國國小","高雄市建國國小 高雄市前金區自立二路111號","22.635","120.298","Kaohsiung18","2018"
"74DA38F209C8","屏東縣縣立長興國小","[908]屏東縣長治鄉新潭村潭頭路50號","22.677","120.526","Pingtung","2018"
"74DA38F210C8","屏東縣縣立塔樓國小","[905]屏東縣里港鄉塔樓村塔樓路21之3號","22.765","120.483","Pingtung","2018"
"08BEAC0A0470","桃園市市立瑞梅國小","桃園市楊梅區梅溪里19鄰三民北路26巷41號","24.91027731","121.1713391","Taoyuan19","2019"
"08BEAC0A04A0","臺南市市立甲中國小","臺南市下營區紅甲里71號","23.2501873824","120.272551216","Tainan19","2019"
"74DA38C7D57E","新竹市立內湖國中",,,,"Hsinchu","2017"
"74DA38C7D57C","新竹市立虎林國中",,,,"Hsinchu","2017"
"74DA38B053F6","新竹市立新科國中",,,,"Hsinchu","2017"
"74DA38B053E6","新竹市立香山高中附設國中",,,,"Hsinchu","2017"
"08BEAC0A0386","臺中市立文山國小","臺中市南屯區南屯區文山里忠勇路97號","24.1496395","120.6153841","Taichung19","2019"
"08BEAC0A0858","嘉義縣縣立社團國小","嘉義縣大林鎮三角里下林頭51號","23.6175211","120.4958474","ChiayiCounty19","2019"
"74DA38F20C20","高雄市市立陽明國中","高雄市立陽明國民中學 高雄市三民區本上里義華路166號","22.643","120.34","Kaohsiung18","2018"
"08BEAC0A01C2","嘉義縣縣立內埔國小","嘉義縣竹崎鄉內埔村元興路2號","23.530647","120.520453","ChiayiCounty19","2019"
"74DA38C7CEA6","嘉義市立蘭潭國小","[600]嘉義市東區小雅路419號","23.474","120.47","Chiayi","2017"
"74DA38C7D51A","新竹市立茄苳國小","[300]新竹市香山區茄苳里茄苳路70號","24.755","120.945","Hsinchu","2017"
"74DA38ED04AC","花蓮縣立平和國小","[974]花蓮縣壽豐鄉平和路34號","23.884","121.519","Hualien","2018"
"74DA38ED04BE","花蓮縣立光華國小","[973]花蓮縣吉安鄉光華村光華二街180號","23.935","121.578","Hualien","2018"
"74DA38F20934","台東縣縣立泰源國中","[959]臺東縣東河鄉北源村3鄰30號","23.002","121.29","Taitung","2018"
"74DA38F20938","新竹縣縣立芎林國中","[307]新竹縣芎林鄉新鳳村74號","24.761","121.092","HsinchuCounty","2018"
"74DA38F20A12","高雄市市立油廠國小","高雄市油廠國小 高雄市楠梓區左楠路4號","22.709","120.302","Kaohsiung18","2018"
"08BEAC0A0388","臺南市市立後壁國小","臺南市後壁區後壁里195號","23.3663091336","120.366071127","Tainan19","2019"
"08BEAC0A0472","臺南市市立文正國小","臺南市麻豆區南勢里86號","23.18719587","120.2660892","Tainan19","2019"
"74DA38F20C22","高雄市市立大社國中","高雄市立大社國民中學 高雄市大社區神農里翠屏路100號","22.729","120.357","Kaohsiung18","2018"
"74DA38F20D24","高雄市市立潮寮國中","高雄市立潮寮國民中學 高雄市大寮區潮寮里潮寮路51-9號","22.564","120.424","Kaohsiung18","2018"
"08BEAC0A01C8","雲林縣縣立大新國小","雲林縣西螺鎮大新里二一五號","23.78937457","120.4863166","Yunlin19","2019"
