舊 SITEID,station_id,SITENAME,lon,lat,address
276                 ,EPA001,基隆,121.7601,25.1292,基隆市東信路324號
277                 ,EPA002,汐止,121.6423,25.0671,新北市汐止區樟樹一路141巷2號
278                 ,EPA003,萬里,121.6899,25.1797,新北市萬里區瑪鋉路221號
279                 ,EPA004,新店,121.5378,24.9772,新北市新店區民族路108號
280                 ,EPA005,土城,121.4519,24.9825,新北市土城區學府路一段241號
281                 ,EPA006,板橋,121.4587,25.013,新北市板橋區文化路一段25號
282                 ,EPA007,新莊,121.4325,25.038,新北市新莊區中正路510號
283                 ,EPA008,菜寮,121.481,25.069,新北市三重區中正北路163號
284                 ,EPA009,林口,121.3657,25.0786,新北市林口區文化北路一段425號
285                 ,EPA010,淡水,121.4492,25.1645,新北市淡水區中正東路42巷6號
286                 ,EPA011,士林,121.5154,25.1054,臺北市北投區文林北路155號
287                 ,EPA012,中山,121.5265,25.0624,臺北市中山區林森北路511號
288                 ,EPA013,萬華,121.508,25.0465,臺北市萬華區中華路1段66號
289                 ,EPA014,古亭,121.5296,25.0206,臺北市大安區羅斯福路三段153號
290                 ,EPA015,松山,121.5786,25.05,臺北市松山區八德路四段746號
201                 ,EPA016,大同,121.5133,25.0632,臺北市大同區重慶北路三段2號
291                 ,EPA017,桃園,121.32,24.9948,桃園市桃園區成功路二段144號
292                 ,EPA018,大園,121.2018,25.0603,桃園市大園區中正東路160號
202                 ,EPA019,觀音,121.0828,25.0355,桃園市觀音區文化路2號
293                 ,EPA020,平鎮,121.204,24.9528,桃園市平鎮區文化街189號
294                 ,EPA021,龍潭,121.2164,24.8639,桃園市龍潭區中正路210號
295                 ,EPA022,湖口,121.0387,24.9001,新竹縣湖口鄉成功路360號
296                 ,EPA023,竹東,121.0889,24.7406,新竹縣竹東鎮榮樂里三民街70號
297                 ,EPA024,新竹,120.9721,24.8056,新竹市民族路33號
203                 ,EPA025,頭份,120.8986,24.697,苗栗縣頭份鎮文化街20號
241                 ,EPA026,苗栗,120.8202,24.5653,苗栗市縣府路100號
242                 ,EPA027,三義,120.7588,24.3829,苗栗縣三義鄉西湖村上湖61-1號
243                 ,EPA028,豐原,120.7417,24.2566,臺中市豐原區水源路150號
244                 ,EPA029,沙鹿,120.5688,24.2256,臺中市沙鹿區英才路150號
245                 ,EPA030,大里,120.6777,24.0996,臺中市大里區大新街36號
246                 ,EPA031,忠明,120.6411,24.152,臺中市南屯區公益路二段296號
247                 ,EPA032,西屯,120.6169,24.1622,臺中市西屯區安和路1號
248                 ,EPA033,彰化,120.5415,24.066,彰化縣彰化市文心街55號
204                 ,EPA034,線西,120.4691,24.1317,彰化縣線西鄉寓埔村中央路二段145號
249                 ,EPA035,二林,120.4097,23.9252,彰化縣二林鎮萬合里江山巷1號
250                 ,EPA036,南投,120.6853,23.913,南投市南陽路269號
251                 ,EPA037,斗六,120.545,23.7119,雲林縣斗六市民生路224號
252                 ,EPA038,崙背,120.3487,23.7575,雲林縣崙背鄉南陽村大成路91號
253                 ,EPA039,新港,120.3455,23.5548,嘉義縣新港鄉登雲路105號
254                 ,EPA040,朴子,120.2474,23.4653,嘉義縣朴子市光復路34號
